epoch,split,loss,acc,macro_f1,lr,wall_time
1,train,1.8362424980510366,0.2222432739674119,0.21393245458602905,0.0009997557473810346,27.904264211654663
1,dev,1.9662035783131917,0.20973782771535582,0.1294766068458557,0.0009997557473810346,27.904264211654663
2,train,1.6549656331539153,0.3122394846532778,0.2660193145275116,0.0009990232305719937,14.1026291847229
2,dev,1.5929338216781617,0.33146067415730335,0.25019708275794983,0.0009990232305719937,14.1026291847229
3,train,1.617745644937862,0.3264494126563092,0.2907288670539856,0.000997803172478523,15.21109390258789
3,dev,1.5695367919074164,0.33801498127340823,0.28094595670700073,0.000997803172478523,15.21109390258789
4,train,1.5933588044209914,0.3543008715422509,0.33472728729248047,0.000996096777150664,14.992465496063232
4,dev,1.6298217879401313,0.35767790262172283,0.3265785574913025,0.000996096777150664,14.992465496063232
5,train,1.566577830097892,0.3715422508525957,0.3582434356212616,0.000993905728594591,16.073810577392578
5,dev,1.5447601424323187,0.3604868913857678,0.3311254680156708,0.000993905728594591,16.073810577392578
6,train,1.535133159160614,0.39484653277756726,0.38512569665908813,0.000991232189110699,15.477303743362427
6,dev,1.4722922325134278,0.41853932584269665,0.4082624316215515,0.000991232189110699,15.477303743362427
7,train,1.5067996090108697,0.40450928381962864,0.39412692189216614,0.0009880787971596767,14.958314180374146
7,dev,1.5692816151512994,0.37265917602996257,0.3390350937843323,0.0009880787971596767,14.958314180374146
8,train,1.4785155296325683,0.41928760894278133,0.4107702970504761,0.0009844486647586617,14.345161437988281
8,dev,1.4810109270943537,0.41385767790262173,0.40508750081062317,0.0009844486647586617,14.345161437988281
9,train,1.4567551851272582,0.4280030314513073,0.4211520254611969,0.0009803453744100636,14.660043716430664
9,dev,1.531082691086663,0.398876404494382,0.38176941871643066,0.0009803453744100636,14.660043716430664
10,train,1.4374517727981915,0.44732853353543006,0.44173863530158997,0.0009757729755660681,14.871455907821655
10,dev,1.3803882572386,0.46722846441947563,0.44403591752052307,0.0009757729755660681,14.871455907821655
11,train,1.409517832777717,0.46115953012504735,0.45408686995506287,0.0009707359806323086,14.570420742034912
11,dev,1.4760734849505954,0.4541198501872659,0.44317471981048584,0.0009707359806323086,14.570420742034912
12,train,1.3772642942992124,0.4785903751420993,0.4737963080406189,0.0009652393605146503,14.377367496490479
12,dev,1.4530437893337673,0.45786516853932585,0.44598737359046936,0.0009652393605146503,14.377367496490479
13,train,1.3481895606626164,0.49621068586585826,0.49044305086135864,0.000959288539713537,14.121633529663086
13,dev,1.4396331257290311,0.45131086142322097,0.43988969922065735,0.000959288539713537,14.121633529663086
14,train,1.3090632538903844,0.5136415308829102,0.5084941387176514,0.0009528893909706465,13.929858922958374
14,dev,1.481659671995375,0.4297752808988764,0.41878509521484375,0.0009528893909706465,13.929858922958374
15,train,1.2633413577621633,0.535240621447518,0.5315009355545044,0.0009460482294732096,13.953733682632446
15,dev,1.4972153955035739,0.46348314606741575,0.45174479484558105,0.0009460482294732096,13.953733682632446
16,train,1.2189290965145285,0.568207654414551,0.5645729303359985,0.00093877180662168,13.966124534606934
16,dev,1.4343901369306775,0.46348314606741575,0.4607045650482178,0.00093877180662168,13.966124534606934
17,train,1.172994603081183,0.5917014020462297,0.5884612798690796,0.0009310673033669202,14.05546760559082
17,dev,1.705893956290351,0.42790262172284643,0.40857231616973877,0.0009310673033669202,14.05546760559082
18,train,1.1020356067202308,0.6250473664266768,0.6225555539131165,0.0009229423231234656,14.145490646362305
18,dev,1.5107621192932128,0.4868913857677903,0.48302164673805237,0.0009229423231234656,14.145490646362305
19,train,1.0406594625928185,0.645320197044335,0.6441264152526855,0.0009144048842658761,15.620224475860596
19,dev,1.7666730138990614,0.4307116104868914,0.4107193946838379,0.0009144048842658761,15.620224475860596
20,train,0.9841522040692243,0.6780977643046608,0.6763055920600891,0.0009054634122155682,17.825191020965576
20,dev,1.5561294635136922,0.49063670411985016,0.48683300614356995,0.0009054634122155682,17.825191020965576
21,train,0.9286875976757569,0.711443728685108,0.7097467184066772,0.0008961267311259367,15.004634380340576
21,dev,1.7657188706927829,0.4400749063670412,0.43891531229019165,0.0008961267311259367,15.004634380340576
22,train,0.8728084607557817,0.7281167108753316,0.7277443408966064,0.0008864040551739854,15.719399452209473
22,dev,1.9208469258414373,0.4091760299625468,0.3766576647758484,0.0008864040551739854,15.719399452209473
23,train,0.7954646186395125,0.7707464948844259,0.7698100805282593,0.0008763049794670477,15.071982860565186
23,dev,1.7963143719567194,0.4410112359550562,0.43997377157211304,0.0008763049794670477,15.071982860565186
24,train,0.7432121015407822,0.7993558165971959,0.7988075613975525,0.0008658394705735692,13.888651609420776
24,dev,1.7424116399553087,0.4541198501872659,0.45384806394577026,0.0008658394705735692,13.888651609420776
25,train,0.7152122061360966,0.8093974990526714,0.8087972402572632,0.0008550178566873136,14.684667587280273
25,dev,1.8059318012661405,0.47846441947565543,0.47764381766319275,0.0008550178566873136,14.684667587280273
26,train,0.6693118092688647,0.8334596438044714,0.8333739042282104,0.0008438508174346744,14.341923236846924
26,dev,2.266507789823744,0.3904494382022472,0.36447882652282715,0.0008438508174346744,14.341923236846924
27,train,0.6251710332252762,0.8507010231148162,0.8502029180526733,0.0008323493733351813,15.050369024276733
27,dev,1.896643908818563,0.43913857677902624,0.43726128339767456,0.0008323493733351813,15.050369024276733
28,train,0.5901409216902472,0.8669950738916257,0.8669915199279785,0.0008205248749255763,14.310457229614258
28,dev,1.8580287244584826,0.45131086142322097,0.4514574408531189,0.0008205248749255763,14.310457229614258
29,train,0.5730655739253218,0.8777946191739295,0.8775396943092346,0.0008083889915581995,13.77762222290039
29,dev,1.8894273863898383,0.4297752808988764,0.4331681728363037,0.0008083889915581995,13.77762222290039
