epoch,split,loss,acc,macro_f1,lr,wall_time
1,train,1.6799491677418292,0.3009235936188077,0.284108430147171,0.001,14.079230070114136
1,dev,1.6744981331209983,0.29973118279569894,0.2148948758840561,0.001,14.079230070114136
2,train,1.6054764545586215,0.34223341729638956,0.309633731842041,0.001,15.57532548904419
2,dev,1.5641074507467208,0.364247311827957,0.31584611535072327,0.001,15.57532548904419
3,train,1.581863072502565,0.3570109151973132,0.32260143756866455,0.001,15.548614025115967
3,dev,1.5344011591326805,0.3763440860215054,0.3225996196269989,0.001,15.548614025115967
4,train,1.579648925118657,0.3586901763224181,0.32775917649269104,0.001,15.993962526321411
4,dev,1.6520863021573713,0.3131720430107527,0.26053518056869507,0.001,15.993962526321411
5,train,1.5641540303287735,0.36137699412258606,0.3264505863189697,0.001,15.330751419067383
5,dev,1.5264470442648856,0.3897849462365591,0.35277068614959717,0.001,15.330751419067383
6,train,1.552855886129969,0.3704450041981528,0.3431270122528076,0.001,15.763752698898315
6,dev,1.6491198289778926,0.33602150537634407,0.2895968556404114,0.001,15.763752698898315
7,train,1.5445378252780102,0.382367758186398,0.3523642122745514,0.001,16.06779646873474
7,dev,1.5142566715517352,0.3870967741935484,0.34154364466667175,0.001,16.06779646873474
8,train,1.5478903581818424,0.37229219143576825,0.34549567103385925,0.001,17.5297212600708
8,dev,1.560713150808888,0.37231182795698925,0.3190058469772339,0.001,17.5297212600708
9,train,1.5347267331847225,0.3858942065491184,0.35986587405204773,0.001,15.421303033828735
9,dev,1.7363158137567583,0.3293010752688172,0.2884474992752075,0.001,15.421303033828735
10,train,1.5382930188772668,0.3788413098236776,0.35319089889526367,0.001,15.627699375152588
10,dev,1.6387529373168945,0.34543010752688175,0.3060693144798279,0.001,15.627699375152588
11,train,1.5366959547900771,0.3811922753988245,0.35924988985061646,0.001,15.456556558609009
11,dev,1.480637119662377,0.42338709677419356,0.3848698139190674,0.001,15.456556558609009
12,train,1.535876575722752,0.38303946263643995,0.3596761226654053,0.001,15.628380537033081
12,dev,1.4764953197971467,0.396505376344086,0.3664758801460266,0.001,15.628380537033081
13,train,1.5265890479566582,0.38387909319899244,0.363158643245697,0.001,15.411381244659424
13,dev,1.5227548383897351,0.3870967741935484,0.3577917218208313,0.001,15.411381244659424
14,train,1.519505426108119,0.38774139378673383,0.36891651153564453,0.001,15.39436674118042
14,dev,1.549566318911891,0.36693548387096775,0.32905614376068115,0.001,15.39436674118042
15,train,1.5124582052230835,0.40537363560033585,0.38677549362182617,0.001,15.577240228652954
15,dev,1.4775615392192718,0.40053763440860213,0.37727776169776917,0.001,15.577240228652954
16,train,1.5098393796438194,0.3979848866498741,0.3796243369579315,0.001,15.33140254020691
16,dev,1.4731405954207144,0.4099462365591398,0.3840235471725464,0.001,15.33140254020691
17,train,1.508379130478365,0.4005037783375315,0.3845108151435852,0.001,15.619379043579102
17,dev,1.57416622677157,0.3682795698924731,0.30530408024787903,0.001,15.619379043579102
18,train,1.5130362860170234,0.4031905961376994,0.38293445110321045,0.001,15.398752689361572
18,dev,1.510617608024228,0.41935483870967744,0.39508503675460815,0.001,15.398752689361572
19,train,1.5057057764635506,0.3924433249370277,0.3750525712966919,0.001,15.435649871826172
19,dev,1.45495177853492,0.42338709677419356,0.41190609335899353,0.001,15.435649871826172
20,train,1.5067240938125366,0.4057094878253568,0.38992801308631897,0.001,15.635057210922241
20,dev,1.5793609503776795,0.3763440860215054,0.34246957302093506,0.001,15.635057210922241
21,train,1.4878238406047284,0.4142737195633921,0.39957332611083984,0.001,15.56405258178711
21,dev,1.4366109102003035,0.4260752688172043,0.4026661813259125,0.001,15.56405258178711
22,train,1.4844381775721966,0.41376994122586064,0.39900022745132446,0.001,15.485797643661499
22,dev,1.4545286913071909,0.43951612903225806,0.43073177337646484,0.001,15.485797643661499
23,train,1.4849391629896969,0.41931150293870695,0.407162606716156,0.001,15.671810150146484
23,dev,1.4593646180245183,0.4220430107526882,0.41125383973121643,0.001,15.671810150146484
24,train,1.4792895374527897,0.4171284634760705,0.4028272032737732,0.001,15.567944765090942
24,dev,1.4384540338670053,0.43413978494623656,0.4121987223625183,0.001,15.567944765090942
25,train,1.470737825435807,0.4181360201511335,0.40376850962638855,0.001,15.342472791671753
25,dev,1.5178930624838798,0.39381720430107525,0.36568689346313477,0.001,15.342472791671753
26,train,1.471373964026271,0.42048698572628046,0.4109857976436615,0.001,15.412123203277588
26,dev,1.4227384424978686,0.4381720430107527,0.4202136993408203,0.001,15.412123203277588
27,train,1.4734544347088978,0.41696053736356004,0.40595385432243347,0.001,15.556751012802124
27,dev,1.4650321506684827,0.40860215053763443,0.38941746950149536,0.001,15.556751012802124
28,train,1.4629538092747272,0.42384550797649034,0.4123229384422302,0.001,15.502191305160522
28,dev,1.449829266917321,0.43010752688172044,0.40487033128738403,0.001,15.502191305160522
29,train,1.4654514061878006,0.42384550797649034,0.4149840474128723,0.001,15.432157754898071
29,dev,1.4493572288943875,0.44489247311827956,0.4338201582431793,0.001,15.432157754898071
