epoch,split,loss,acc,macro_f1,lr,wall_time
1,train,1.6848177359286083,0.30075566750629723,0.278160035610199,0.001,14.147764682769775
1,dev,1.5640036905965498,0.3575268817204301,0.3048567771911621,0.001,14.147764682769775
2,train,1.5937453987129242,0.34676742233417296,0.31678834557533264,0.001,15.231744289398193
2,dev,1.5791997601909022,0.3602150537634409,0.31098103523254395,0.001,15.231744289398193
3,train,1.5664606563537475,0.37246011754827874,0.3498919606208801,0.001,15.076038122177124
3,dev,1.5302303971782807,0.37768817204301075,0.3467589020729065,0.001,15.076038122177124
4,train,1.534710416113995,0.3815281276238455,0.3603353500366211,0.001,14.982971906661987
4,dev,1.4199491604681937,0.4381720430107527,0.42638227343559265,0.001,14.982971906661987
5,train,1.5194099820761318,0.39361880772460117,0.3823062777519226,0.001,15.193293571472168
5,dev,1.4182201739280456,0.45161290322580644,0.4453160762786865,0.001,15.193293571472168
6,train,1.4885553308280117,0.42048698572628046,0.4087108373641968,0.001,15.206036567687988
6,dev,1.3603130271357875,0.4932795698924731,0.4896209239959717,0.001,15.206036567687988
7,train,1.4654313661008476,0.4418136020151133,0.4323323369026184,0.001,15.099294900894165
7,dev,1.4407443423424997,0.42876344086021506,0.41657403111457825,0.001,15.099294900894165
8,train,1.4429546436631535,0.44869857262804363,0.44157469272613525,0.001,15.189259767532349
8,dev,1.3394284844398499,0.5,0.48831087350845337,0.001,15.189259767532349
9,train,1.4151051580666538,0.4680100755667506,0.46252819895744324,0.001,15.224338293075562
9,dev,1.3168938506034114,0.5201612903225806,0.5120168328285217,0.001,15.224338293075562
10,train,1.4064510321042625,0.47002518891687656,0.4642365574836731,0.001,15.063828468322754
10,dev,1.328125234573118,0.4905913978494624,0.4746921956539154,0.001,15.063828468322754
11,train,1.3878267634824577,0.4858102434928631,0.48169857263565063,0.001,15.166287422180176
11,dev,1.2541249009870714,0.5470430107526881,0.5362387895584106,0.001,15.166287422180176
12,train,1.3606431924674405,0.5014273719563392,0.4972016513347626,0.001,15.039273262023926
12,dev,1.3965927881579245,0.4905913978494624,0.48382747173309326,0.001,15.039273262023926
13,train,1.3597226152458344,0.490848026868178,0.48776477575302124,0.001,15.230524778366089
13,dev,1.2822161643735823,0.5389784946236559,0.530289888381958,0.001,15.230524778366089
14,train,1.3438343221403988,0.5073047858942066,0.5036258697509766,0.001,15.151267528533936
14,dev,1.2047588690634696,0.5739247311827957,0.5686018466949463,0.001,15.151267528533936
15,train,1.3238965423710376,0.5188916876574308,0.5169512629508972,0.001,15.282475709915161
15,dev,1.2261299990838574,0.5631720430107527,0.5584465861320496,0.001,15.282475709915161
16,train,1.3021610771795833,0.5306465155331654,0.5275477170944214,0.001,15.121201038360596
16,dev,1.2296771426354685,0.543010752688172,0.5193854570388794,0.001,15.121201038360596
17,train,1.2844438126767017,0.5279596977329974,0.5258001685142517,0.001,15.276597261428833
17,dev,1.1508393979841662,0.5981182795698925,0.5960156917572021,0.001,15.276597261428833
18,train,1.274932113038488,0.5376994122586062,0.5356229543685913,0.001,15.011110544204712
18,dev,1.1864071449925822,0.5739247311827957,0.5653010606765747,0.001,15.011110544204712
19,train,1.2470115116801128,0.5486146095717884,0.5470699071884155,0.001,15.217362403869629
19,dev,1.1638034562910757,0.5806451612903226,0.5635579824447632,0.001,15.217362403869629
20,train,1.2356273577395214,0.5659109991603695,0.5649391412734985,0.001,15.175960779190063
20,dev,1.1236319061248534,0.5994623655913979,0.5940040946006775,0.001,15.175960779190063
21,train,1.228801173857417,0.5680940386230059,0.5662374496459961,0.001,15.335123777389526
21,dev,1.1546067460890739,0.5833333333333334,0.5736970901489258,0.001,15.335123777389526
22,train,1.2035417580700303,0.581360201511335,0.5808214545249939,0.001,15.220717430114746
22,dev,1.1927527554573552,0.5833333333333334,0.5826043486595154,0.001,15.220717430114746
23,train,1.1978767868505424,0.5808564231738035,0.5794521570205688,0.001,15.26568603515625
23,dev,1.1404674591556672,0.5913978494623656,0.590021014213562,0.001,15.26568603515625
24,train,1.1785605628806424,0.5927791771620488,0.5914956331253052,0.001,15.03935432434082
24,dev,1.134805654325793,0.6129032258064516,0.6120308637619019,0.001,15.03935432434082
25,train,1.162454616592591,0.5919395465994962,0.5908381342887878,0.0005,15.188343286514282
25,dev,1.1469273874836583,0.5940860215053764,0.5882703065872192,0.0005,15.188343286514282
26,train,1.0762100502190342,0.6431570109151973,0.6425493955612183,0.0005,15.30584454536438
26,dev,1.0648188975549513,0.6478494623655914,0.6459711790084839,0.0005,15.30584454536438
27,train,1.068567748170301,0.6401343408900084,0.6401763558387756,0.0005,15.133179664611816
27,dev,1.0472517532687033,0.6317204301075269,0.6292645335197449,0.0005,15.133179664611816
28,train,1.0466191328194248,0.6517212426532326,0.6514233350753784,0.0005,15.14631462097168
28,dev,1.0811062012949297,0.6236559139784946,0.6125518083572388,0.0005,15.14631462097168
29,train,1.0208864932558144,0.6644836272040302,0.6641850471496582,0.0005,15.235365629196167
29,dev,1.0851608495558462,0.6330645161290323,0.6321277618408203,0.0005,15.235365629196167
30,train,1.0002770636933875,0.675230898404702,0.6748604774475098,0.0005,15.241623878479004
30,dev,1.1083076500123548,0.6102150537634409,0.6080909371376038,0.0005,15.241623878479004
31,train,1.0014393030400257,0.6663308144416457,0.666378378868103,0.0005,15.276247501373291
31,dev,1.0981996194008858,0.6384408602150538,0.6345052123069763,0.0005,15.276247501373291
32,train,0.9847517264894692,0.6832913518052057,0.6833285689353943,0.00025,14.962878942489624
32,dev,1.0703444365532166,0.635752688172043,0.6336848139762878,0.00025,14.962878942489624
33,train,0.9403192645095917,0.7002518891687658,0.7005764245986938,0.00025,15.036604881286621
33,dev,1.073629500404481,0.6330645161290323,0.6361862421035767,0.00025,15.036604881286621
34,train,0.9129098969769766,0.7227539882451721,0.7229911684989929,0.00025,15.293768644332886
34,dev,1.0653162156381915,0.6384408602150538,0.6375701427459717,0.00025,15.293768644332886
35,train,0.890358142584682,0.7291351805205709,0.7297787070274353,0.00025,15.535062313079834
35,dev,1.0513060131380636,0.6545698924731183,0.6556416749954224,0.00025,15.535062313079834
36,train,0.8934817711512247,0.727120067170445,0.7278441786766052,0.00025,15.123910427093506
36,dev,1.0588597193841012,0.6424731182795699,0.6395487189292908,0.00025,15.123910427093506
37,train,0.862142895838343,0.7350125944584383,0.7351750731468201,0.000125,15.144890546798706
37,dev,1.0924327373504639,0.6532258064516129,0.653548002243042,0.000125,15.144890546798706
38,train,0.8518778127599432,0.7467674223341729,0.7473593354225159,0.000125,15.210840463638306
38,dev,1.0512800505084376,0.6545698924731183,0.6574242115020752,0.000125,15.210840463638306
39,train,0.8259291998353828,0.7578505457598657,0.7583364844322205,0.000125,14.863881826400757
39,dev,1.0539542436599731,0.6518817204301075,0.6504576206207275,0.000125,14.863881826400757
40,train,0.8273213590723444,0.7578505457598657,0.7584723234176636,0.000125,15.14629316329956
40,dev,1.047456960524282,0.6586021505376344,0.6591458916664124,0.000125,15.14629316329956
41,train,0.8273080053578419,0.7531486146095718,0.7539384961128235,0.000125,14.83124303817749
41,dev,1.0563860814417563,0.6505376344086021,0.6500269174575806,0.000125,14.83124303817749
42,train,0.8201773762702942,0.7575146935348447,0.7579686641693115,6.25e-05,15.292688369750977
42,dev,1.0715009166348366,0.6518817204301075,0.6523478627204895,6.25e-05,15.292688369750977
43,train,0.7959751936805296,0.7716204869857263,0.7721277475357056,6.25e-05,14.989950895309448
43,dev,1.0591015911871386,0.6747311827956989,0.6754335761070251,6.25e-05,14.989950895309448
44,train,0.7873646837161726,0.7689336691855584,0.7694121599197388,6.25e-05,15.214884757995605
44,dev,1.06326477566073,0.6733870967741935,0.6744585037231445,6.25e-05,15.214884757995605
45,train,0.7943611927779324,0.7672544080604534,0.7679886221885681,6.25e-05,15.194869756698608
