epoch,split,loss,acc,macro_f1,lr,wall_time
1,train,1.6434989583540154,0.3130142737195634,0.28149929642677307,0.001,13.055437564849854
1,dev,1.5715401480274815,0.3575268817204301,0.2718885838985443,0.001,13.055437564849854
2,train,1.5697972137765233,0.36607892527287994,0.33099365234375,0.001,15.007938385009766
2,dev,1.5458135566403788,0.3817204301075269,0.3340897560119629,0.001,15.007938385009766
3,train,1.5723776295481915,0.3588581024349286,0.32534661889076233,0.001,14.869414806365967
3,dev,1.5125915235088718,0.38306451612903225,0.3384911119937897,0.001,14.869414806365967
4,train,1.5473265499475013,0.3786733837111671,0.3520975410938263,0.001,14.979336261749268
4,dev,1.5198970302458732,0.3978494623655914,0.3467194437980652,0.001,14.979336261749268
5,train,1.5354264395303994,0.38354324097397147,0.35736918449401855,0.001,14.781519889831543
5,dev,1.6179637082161442,0.3333333333333333,0.2841568887233734,0.001,14.781519889831543
6,train,1.5261097370860088,0.3879093198992443,0.36549076437950134,0.001,14.863189697265625
6,dev,1.5097874095363002,0.385752688172043,0.36146098375320435,0.001,14.863189697265625
7,train,1.5022767614648045,0.3929471032745592,0.3760939836502075,0.001,14.856187343597412
7,dev,1.539909755029986,0.396505376344086,0.36429649591445923,0.001,14.856187343597412
8,train,1.5065310302987156,0.39781696053736354,0.38233649730682373,0.001,14.944875001907349
8,dev,1.4688314295584155,0.4032258064516129,0.36442893743515015,0.001,14.944875001907349
9,train,1.4896263276716792,0.4119227539882452,0.3976643681526184,0.001,14.853204011917114
9,dev,1.468929369603434,0.4166666666666667,0.38758397102355957,0.001,14.853204011917114
10,train,1.4758267412223969,0.41360201511335015,0.40081340074539185,0.001,14.90412163734436
10,dev,1.4029858477653996,0.43548387096774194,0.429368793964386,0.001,14.90412163734436
